Date,Open,High,Low,Close,Volume,MA20,Diff_Close_MA20
2026-01-02,438.07000732421875,458.3399963378906,435.29998779296875,457.79998779296875,85535400,457.79998779296875,0.0
2026-01-05,451.6700134277344,457.54998779296875,444.57000732421875,447.989990234375,67940800,452.8949890136719,-4.904998779296875
2026-01-06,432.9599914550781,448.25,428.7799987792969,446.3800048828125,89093800,450.72332763671875,-4.34332275390625
2026-01-07,431.4100036621094,438.3699951171875,431.2900085449219,435.8999938964844,59828800,447.01749420166016,-11.117500305175781
2026-01-08,435.79998779296875,436.8900146484375,424.3699951171875,427.8900146484375,57041100,443.19199829101564,-15.301983642578136
2026-01-09,445.010009765625,449.04998779296875,430.3900146484375,435.95001220703125,67331500,441.98500061035156,-6.0349884033203125
2026-01-12,448.9599914550781,454.29998779296875,438.0,441.2300109863281,61649600,441.8771449497768,-0.6471339634486526
2026-01-13,447.20001220703125,451.80999755859375,443.95001220703125,450.20001220703125,53719200,442.9175033569336,7.282508850097656
2026-01-14,439.20001220703125,443.9100036621094,434.2200012207031,442.80999755859375,57259500,442.9055582682292,-0.09556070963543561
2026-01-15,438.57000732421875,445.3599853515625,437.6499938964844,441.1300048828125,49465800,442.7280029296875,-1.5979980468749773
2026-01-16,437.5,447.25,435.260009765625,439.5,60220600,442.43454811789775,-2.934548117897748
2026-01-20,419.25,430.7300109863281,417.44000244140625,429.3599853515625,63187300,441.3450012207031,-11.985015869140625
2026-01-21,431.44000244140625,438.20001220703125,419.6199951171875,421.6600036621094,68124000,439.8307706392728,-18.170766977163453
2026-01-22,449.3599853515625,449.5,432.6300048828125,435.1600036621094,71546700,439.4971444266183,-4.337140764508945
2026-01-23,449.05999755859375,452.42999267578125,444.0400085449219,447.42999267578125,56771400,440.0260009765625,7.40399169921875
2026-01-26,435.20001220703125,445.0400085449219,434.2799987792969,445.0,49397400,440.33687591552734,4.663124084472656
2026-01-27,430.8999938964844,437.5199890136719,430.69000244140625,437.4100036621094,37733100,440.16470695944395,-2.754703297334572
2026-01-28,431.4599914550781,438.260009765625,430.1000061035156,431.9100036621094,54857400,439.7061123318142,-7.796108669704836
2026-01-29,416.55999755859375,440.2300109863281,414.6199951171875,437.79998779296875,81686100,439.6057899876645,-1.8058021946957297
2026-01-30,430.4100036621094,439.8800048828125,422.70001220703125,425.3500061035156,82626100,438.893000793457,-13.542994689941395
2026-02-02,421.80999755859375,427.1499938964844,414.5,421.2900085449219,58739500,437.0675018310547,-15.777493286132824
2026-02-03,421.9599914550781,428.55999755859375,413.69000244140625,424.2699890136719,56886500,435.88150177001955,-11.611512756347679
