Date,Open,High,Low,Close,Volume,MA20,Diff_Close_MA20
2026-01-02,270.75665283203125,277.58025431004916,268.7485221479618,272.0054842546519,37838100,272.0054842546519,0.0
2026-01-05,267.0101623535156,271.25618925068443,265.89121426121545,270.38700744645297,45647200,271.19624585055243,-0.8092384040994602
2026-01-06,262.1147155761719,267.2998660934885,261.8749496989937,266.7503924619391,52352100,269.71429472101465,-2.963902259075553
2026-01-07,260.08660888671875,263.4334831315393,259.56710600115036,262.95395138764474,48309800,268.02420888767216,-5.070257500027424
2026-01-08,258.7978515625,259.0476178563403,255.46096229095477,256.7797203952787,50419300,265.7753111891935,-8.9955907939148
2026-01-09,259.1275329589844,259.9667440583015,255.98048371428257,258.8377955175017,39997000,264.61905857724486,-5.781263059743139
2026-01-12,260.0067138671875,261.05572011368304,256.5599267903311,258.9177364764393,45263800,263.8045839914155,-4.886847514976182
2026-01-13,260.8059387207031,261.56523797230057,258.148452318208,258.4781303943212,45730800,263.1387772917787,-4.660646897457468
2026-01-14,259.71697998046875,261.57525710051715,256.4700180914029,259.247418118488,40019400,262.70640405030196,-3.45898593181397
2026-01-15,257.9685974121094,260.7959687899761,256.8096782083212,260.40631875644857,39388600,262.4763955209166,-2.0700767644680127
2026-01-16,255.29112243652344,258.6579671912775,254.69167723491495,257.6589020182799,72142800,262.03844156613144,-4.37953954785155
2026-01-20,246.46937561035156,254.55180921698133,243.19244305608962,252.49373739571587,80267500,261.24304955193014,-8.749312156214273
2026-01-21,247.41848754882812,251.3248360900433,244.9507953165175,248.46750904444812,54641700,260.26031566673925,-11.792806622291124
2026-01-22,248.1178436279297,250.76536025794266,247.9180183962477,248.96703988447874,39708300,259.45365311086346,-10.48661322638472
2026-01-23,247.80812072753906,249.17685039145397,244.45126111041233,247.08880782235642,41689000,258.6293300916297,-11.540522269273282
2026-01-26,255.17123413085938,256.32015295784896,249.5664780183616,251.24490015634893,55969200,258.1678032206746,-6.922903064325681
2026-01-27,258.0285339355469,261.70511669708895,257.96859246831417,258.92771692213245,49648300,258.21250402664276,0.7152128954896853
2026-01-28,256.2002868652344,258.61800761819165,254.27208306792676,257.409147241713,41288000,258.1678730941466,-0.7587258524335994
2026-01-29,258.0385437011719,259.4072580677027,254.17216647920577,257.75880668092503,67253000,258.1463432829245,-0.38753660199944306
2026-01-30,259.2374267578125,261.6551472598355,251.94423313215475,254.93144331105526,92443400,257.985598284331,-3.054154973275729
2026-02-02,269.7575988769531,270.2371306501278,258.9676766447768,259.7869174093499,73913400,257.3746699420659,2.4122474672839758
2026-02-03,269.22808837890625,271.6258386480508,267.3598109321867,268.9483513556569,64394700,257.30273713752615,11.645614218130731
2026-02-04,276.23150634765625,278.68922850453845,272.03545112075,272.03545112075,90545700,257.56699007046666,14.468461050283338
2026-02-05,275.6520690917969,279.2387093202658,272.97458180817284,277.86999494352693,52977400,258.31279224826073,19.5572026952662
2026-02-06,277.8599853515625,280.6473855638201,276.67109542368036,276.8609202349588,50453400,259.31685224024477,17.544067994714055
2026-02-09,274.6199951171875,278.20001220703125,271.70001220703125,277.9100036621094,44623400,260.27046264747514,17.639541014634233
2026-02-10,273.67999267578125,275.3699951171875,272.94000244140625,274.8900146484375,34376900,261.06907655607506,13.82093809236244
2026-02-11,275.5,280.17999267578125,274.45001220703125,274.70001220703125,51931300,261.88017064671055,12.819841560320697
2026-02-12,261.7300109863281,275.7200012207031,260.17999267578125,275.5899963378906,81077200,262.69729955768065,12.892696780209974
2026-02-13,255.77999877929688,262.2300109863281,255.4499969482422,262.010009765625,56290700,262.7774841081395,-0.7674743425145039
2026-02-17,263.8800048828125,266.2900085449219,255.5399932861328,258.04998779296875,58469100,262.797038396874,-4.7470506039052225
2026-02-18,264.3500061035156,266.82000732421875,262.45001220703125,263.6000061035156,34203300,263.35235183226393,0.24765427125169026
2026-02-19,260.5799865722656,264.4800109863281,260.04998779296875,262.6000061035156,30845300,264.0589766852173,-1.458970581701692
2026-02-20,264.5799865722656,264.75,258.1600036621094,258.9700012207031,42070500,264.55912475202854,-5.589123531325413
2026-02-23,266.17999267578125,269.42999267578125,263.3800048828125,263.489990234375,37308200,265.3791838726294,-1.8891936382544259
2026-02-24,272.1400146484375,274.8900146484375,267.7099914550781,267.8599853515625,47014600,266.20993813239016,1.650047219172336
2026-02-25,274.2300109863281,274.94000244140625,271.04998779296875,271.7799987792969,33714300,266.85255222524836,4.927446554048515
2026-02-26,272.95001220703125,276.1099853515625,270.79998779296875,274.95001220703125,32345100,267.7295954735143,7.22041673351697
2026-02-27,264.17999267578125,272.80999755859375,262.8900146484375,272.80999755859375,72366500,268.4821550173977,4.327842541196048
2026-03-02,264.7200012207031,266.5299987792969,260.20001220703125,262.4100036621094,41827900,268.8560830349504,-6.446079372841041
2026-03-03,263.75,265.55999755859375,260.1300048828125,263.4800109863281,38568900,269.04073771379933,-5.560726727471206
2026-03-04,262.5199890136719,266.1499938964844,261.4200134277344,264.6499938964844,39803100,268.8258198408407,-4.1758259443563475
2026-03-05,260.2900085449219,261.55999755859375,257.25,260.7900085449219,49658600,268.2635477120493,-7.473539167127399
2026-03-06,257.4599914550781,258.7699890136719,254.3699951171875,258.6300048828125,41120000,267.30154820901356,-8.67154332620106
2026-03-09,259.8800048828125,261.1499938964844,253.67999267578125,255.69000244140625,38218500,266.2430023193359,-10.552999877929665
2026-03-10,260.8299865722656,262.4800109863281,256.95001220703125,257.6499938964844,30590800,265.23000183105466,-7.58000793457029
2026-03-11,260.80999755859375,262.1300048828125,259.54998779296875,261.0899963378906,26218900,264.54000091552734,-3.4500045776367188
2026-03-12,255.75999450683594,258.95001220703125,254.17999267578125,258.6600036621094,40794000,263.7380004882813,-5.077996826171898
2026-03-13,250.1199951171875,256.3299865722656,249.52000427246094,255.47999572753906,36930000,262.73250045776365,-7.252504730224587
2026-03-16,252.82000732421875,253.88999938964844,249.8800048828125,252.11000061035156,32074200,262.2375,-10.127499389648449
2026-03-17,254.22999572753906,255.1300048828125,252.17999267578125,252.9600067138672,32361600,261.9830009460449,-9.022994232177723
2026-03-18,249.94000244140625,254.94000244140625,249.0,252.6300048828125,35757900,261.43450088500975,-8.804496002197254
2026-03-19,248.9600067138672,251.8300018310547,247.3000030517578,249.39999389648438,34864100,260.7745002746582,-11.374506378173805
2026-03-20,247.99000549316406,249.1999969482422,246.0,247.97999572753906,88331100,260.225,-12.24500427246096
2026-03-23,251.49000549316406,254.60000610351562,250.27999877929688,253.97000122070312,40546100,259.7490005493164,-5.778999328613281
2026-03-24,251.63999938964844,254.8300018310547,249.5500030517578,250.35000610351562,45152300,258.8735015869141,-8.523495483398449
2026-03-25,252.6199951171875,255.0,251.60000610351562,254.10000610351562,28476700,257.989501953125,-3.889495849609375
2026-03-26,252.88999938964844,257.0,250.77000427246094,252.1199951171875,41796700,256.84800109863284,-4.728005981445335
