Date,Open,High,Low,Close,Volume,MA20,Diff_Close_MA20
2026-01-02,471.8630065917969,483.5563186075122,469.0893385249197,483.2869444224563,25571600,483.2869444224563,0.0
2026-01-05,471.773193359375,474.9858617296903,468.4308161640092,472.98042932285466,25250300,478.1336868726555,-5.1532575498008555
2026-01-06,477.4203186035156,477.64977534720424,468.68025764779384,472.72102257015473,23037700,476.32946543848857,-3.6084428683338388
2026-01-07,482.3690185546875,488.5848422406915,476.86159994291296,478.6674756822987,25564200,476.91396799944107,1.7535076828576166
2026-01-08,477.0212097167969,481.5608665012806,474.7763335277468,480.14408679814625,18162600,477.55999175918214,2.584095038964108
2026-01-09,478.1885681152344,478.72734693664125,471.1247042989064,472.9804540365218,18491000,476.79673547207204,-3.816281435550252
2026-01-12,476.09332275390625,479.89464390147504,474.59673866594744,475.5845048686955,23519900,476.6235596715897,-1.0390548028942135
2026-01-13,469.5981750488281,474.6965236309785,464.888922501957,473.5990225282599,28545800,476.2454925286735,-2.646470000413558
2026-01-14,458.3338928222656,467.13381499707015,456.1289340170423,465.39775666549855,28184300,475.04018854387624,-9.642431878377693
2026-01-15,455.6200866699219,463.1927988881192,454.8618076165624,463.0630900555096,23225800,473.84247869503963,-10.779388639530055
2026-01-16,458.8127746582031,462.13520850615447,455.4404972994736,456.78739866953146,34246700,472.29201687453883,-15.504618205007375
2026-01-20,453.48492431640625,455.7597309230742,448.2568669541529,450.1924514863621,26130000,470.45038642552413,-20.257934939162055
2026-01-21,443.0986328125,451.65911099901973,437.68100562513575,451.56931960591265,37980500,468.9979966701694,-17.42867706425676
2026-01-22,450.1126403808594,451.8087507279656,443.6873036586902,446.600636936346,25349400,467.3981852606106,-20.797548324264596
2026-01-23,464.888916015625,470.0271819611143,449.50401819491054,450.8409629929935,38000200,466.2943704427695,-15.453407449775966
2026-01-26,469.20904541015625,473.1700058760031,460.94790240319116,464.25036221183507,29291200,466.16661992833605,-1.9162577165009793
2026-01-27,479.485595703125,481.7703893732875,472.0825097961169,472.62128861771004,29213900,466.54630632182864,6.074982295881398
